0|1|Østerbro|-72,41,150|-81,48,195|-98,59,122|-98,59,122
1|2|Sundbyvester|-69,34,120|-79,35,175|-94,44,118|-94,44,118
2|3|Indre By|22,89,20|22,93,80|31,99,10|31,99,10
3|4|Sundbyøster|-70,40,120|-78,43,170|-98,56,122|-98,56,122
4|5|Nørrebro|66,38,0|77,40,60|64,69,0|64,69,0
5|6|Bispebjerg|-61,-108,0|-61,-104,60|-46,-89,0|-46,-89,0
6|7|Brønshøj|-71,41,120|-80,49,170|-92,58,130|-92,58,130
7|8|Valby|52,-122,0|52,-114,60|51,-100,0|51,-100,0
8|9|Vesterbro|-77,43,125|-84,48,175|-93,60,125|-93,60,125
9|10|Falkoner|-60,36,80|-68,40,130|-76,52,80|-76,52,80
10|11|Slots|65,72,0|92,77,60|69,92,0|69,92,0
11|12|Tårnby|77,65,60|105,70,110|84,92,20|84,92,20
12|13|Gentofte|39,-16,0|39,-11,60|60,0,0|60,0,0
13|14|Lyngby|-47,84,20|-58,88,70|-48,100,20|-48,100,20
14|15|Gladsaxe|-62,34,70|-70,37,120|-77,51,70|-77,51,70
15|16|Rødovre|49,59,30|47,64,80|61,87,30|61,87,30
16|17|Hvidovre|-75,47,140|-86,52,180|-91,56,140|-91,56,140
17|18|Brøndby|35,-130,0|24,-129,60|46,-104,0|46,-104,0
18|19|Taastrup|-62,34,100|-68,36,150|-72,47,100|-72,47,100
19|20|Ballerup|-71,31,150|-80,36,200|-85,45,120|-85,45,120
20|21|Helsingør|12,93,0|10,98,60|14,109,0|14,109,0
21|22|Fredensborg|-74,38,140|-85,44,190|-90,53,140|-90,53,140
22|23|Hillerød|-75,40,140|-82,45,190|-90,53,140|-90,53,140
23|24|Frederikssund|-74,46,140|-81,49,190|-86,53,140|-86,53,140
24|25|Egedal|-69,53,110|-76,57,160|-69,60,110|-69,60,110
25|26|Rudersdal|-67,32,90|-72,22,150|-72,44,100|-72,44,100
26|27|Rønne|-38,127,0|-40,135,60|-36,133,0|-36,133,0
27|28|Aakirkeby|52,90,0|60,95,60|60,96,0|60,96,0
28|29|Lolland|-65,34,100|-66,28,150|-72,47,100|-72,47,100
29|30|Guldborgsund|56,39,0|51,39,60|60,55,0|60,55,0
30|31|Vordingborg|-56,34,100|-75,20,150|-80,45,100|-80,45,100
31|32|Næstved|-74,44,140|-81,48,190|-86,52,140|-86,52,140
32|33|Fakse|67,0,0|76,5,60|66,15,0|66,15,0
33|34|Køge|-69,33,100|-73,31,150|-75,45,100|-75,45,100
34|35|Greve|46,-125,0|46,-127,60|54,-103,0|54,-103,0
35|36|Roskilde|-44,50,0|-49,54,60|-30,67,0|-30,67,0
36|37|Holbæk|66,-23,0|96,-20,60|66,2,0|66,2,0
37|38|Kalundborg|58,24,0|52,26,60|58,30,0|58,30,0
38|39|Ringsted|-74,54,140|-82,56,190|-86,60,140|-86,60,140
39|40|Slagelse|-72,51,140|-81,53,190|-84,61,140|-84,61,140
40|41|Odense Øst|-69,35,120|-77,38,170|-77,43,120|-77,43,120
41|42|Odense Vest|66,9,0|76,13,60|62,30,0|62,30,0
42|43|Odense Syd|-73,54,130|-79,56,180|-86,60,130|-86,60,130
43|44|Assens|55,-108,0|60,-106,60|55,-84,0|55,-84,0
44|45|Middelfart|-46,49,0|-44,53,60|-34,71,0|-34,71,0
45|46|Nyborg|3,75,0|0,75,60|1,98,0|1,98,0
46|47|Svendborg|58,75,0|55,77,60|59,90,0|59,90,0
47|48|Faaborg|-74,43,130|-82,47,180|-88,56,130|-88,56,130
48|49|Sønderborg|-49,66,20|-59,68,70|-38,89,0|-38,89,0
49|50|Aabenraa|-7,113,0|-10,122,60|5,125,0|5,125,0
50|51|Tønder|-55,46,30|-61,49,80|-62,57,60|-62,57,60
51|52|Esbjerg By|66,-33,0|98,-33,60|69,-19,0|69,-19,0
52|53|Esbjerg Omegn|-38,122,0|-38,131,60|-33,131,10|-33,131,10
53|54|Varde|-76,40,140|-87,43,190|-86,50,140|-86,50,140
54|55|Vejen|11,-128,40|11,-130,90|12,-114,40|12,-114,40
55|56|Vejle Nord|52,-57,0|52,-57,60|59,-36,0|59,-36,0
56|57|Vejle Syd|23,76,0|27,76,60|16,100,0|16,100,0
57|58|Fredericia|64,-71,0|94,-68,60|64,-56,0|64,-56,0
58|59|Kolding Nord|2,-30,0|-8,-26,60|-26,0,0|-26,0,0
59|60|Kolding Syd|14,75,0|14,75,60|14,90,0|14,90,0
60|61|Haderslev|0,81,0|-2,90,60|2,96,0|2,96,0
61|62|Aarhus Syd|-45,93,0|-48,102,60|-42,102,20|-42,102,20
62|63|Aarhus Vest|5,20,0|13,23,60|-2,44,0|-2,44,0
63|64|Aarhus Nord|13,83,0|13,83,60|13,96,0|13,96,0
64|65|Aarhus Øst|-45,41,0|-57,41,60|-31,55,0|-31,55,0
65|66|Djurs|51,-36,0|42,-36,60|56,-19,0|56,-19,0
66|67|Randers Nord|52,-66,0|43,-64,60|59,-35,0|59,-35,0
67|68|Randers Syd|67,12,0|97,16,60|60,31,0|60,31,0
68|69|Favrskov|-49,70,10|-58,72,70|-43,80,20|-43,80,20
69|70|Skanderborg|-58,48,50|-66,51,100|-51,60,50|-51,60,50
70|71|Horsens|-69,34,100|-74,36,150|-74,47,100|-74,47,100
71|72|Hedensted|-73,45,140|-82,48,190|-86,56,140|-86,56,140
72|73|Struer|-2,27,60|-2,29,110|-3,43,50|-3,43,50
73|74|Skive|67,-7,0|62,-7,60|60,6,0|60,6,0
74|75|Viborg Vest|37,6,0|39,8,60|60,6,0|60,6,0
75|76|Viborg Øst|66,-60,0|71,-55,60|61,-29,0|61,-29,0
76|77|Silkeborg Nord|-46,80,0|-46,84,60|-27,93,0|-27,93,0
77|78|Silkeborg Syd|-70,64,100|-75,65,150|-73,65,90|-73,65,90
78|79|Ikast|-57,66,40|-63,69,90|-50,82,50|-50,82,50
79|80|Herning Syd|-58,74,50|-67,80,100|-63,96,60|-63,96,60
80|81|Herning Nord|67,-37,0|96,-37,60|61,-27,0|61,-27,0
81|82|Holstebro|2,99,0|0,106,60|9,119,0|9,119,0
82|83|Ringkøbing|41,-22,0|40,-20,60|-4,11,0|-4,11,0
83|84|Frederikshavn|43,105,0|43,111,60|34,125,0|34,125,0
84|85|Hjørring|64,-75,0|94,-75,60|61,-52,0|61,-52,0
85|86|Brønderslev|66,100,0|68,106,60|57,111,0|57,111,0
86|87|Thisted|-73,47,130|-88,49,180|-86,60,130|-86,60,130
87|88|Himmerland|-74,46,140|-83,48,190|-88,60,140|-88,60,140
88|89|Mariagerfjord|68,38,0|99,50,60|61,79,0|61,79,0
89|90|Aalborg Øst|66,65,0|76,69,60|58,87,0|58,87,0
90|91|Aalborg Vest|65,45,0|65,47,60|58,54,0|58,54,0
91|92|Aalborg Nord|62,-75,0|65,-72,60|59,-55,0|59,-55,0
92|7912|na|66,-36,0|66,-31,60|60,-22,0|60,-22,0
93|3903|na|-42,122,0|-54,127,60|-42,126,0|-42,126,0
94|4924|na|11,111,0|11,117,60|11,124,0|11,124,0
95|5805|na|45,105,0|62,111,60|55,121,0|55,121,0
96|8516|na|59,-95,0|59,-92,60|50,-86,0|50,-86,0
97|7517|na|48,-8,0|41,-3,60|59,12,0|59,12,0
98|0|Hovedstaden|30,-4,-185|30,-4,-185|30,-4,-185|30,-4,-185
99|0|Sjælland|30,-4,-185|30,-4,-185|30,-4,-185|30,-4,-185
100|0|Syddanmark|30,-4,-185|30,-4,-185|30,-4,-185|30,-4,-185
101|0|Midtjylland|30,-4,-185|30,-4,-185|30,-4,-185|30,-4,-185
102|0|Nordjylland|30,-4,-185|30,-4,-185|30,-4,-185|30,-4,-185
103|0|Hele landet|30,-4,-185|30,-4,-185|30,-4,-185|30,-4,-185
